Employee #,Last Name,First Name,Position,Username,Password
1,Garcia,Manuel III,Chief Executive Officer,garman,pZ3q9fG7
2,Lim,Antonio,Chief Operating Officer,limant,mV8s2nC6
3,Aquino,Bianca Sofia,Chief Finance Officer,aqubia,rX5t3kW9
4,Reyes,Isabella,Chief Marketing Officer,reyiss,sF6w4oR1
5,Hernandez,Eduard,IT Operations and Systems,heredu,dG7s3eQ2
6,Villanueva,Andrea Mae,HR Manager,viland,eD4r5uF8
7,San Jose,Brad ,HR Team Leader,sanbra,aQ2w9mE5
8,Romualdez,Alice,HR Rank and File,romali,pW3q8nM7
9,Atienza,Rosie ,HR Rank and File,atiros,gK5l2pR9
10,Alvaro,Roderick,Accounting Head,alvrod,yH6t3eS7
11,Salcedo,Anthony,Payroll Manager,salant,cV9b4mX2
12,Lopez,Josie ,Payroll Team Leader,lopjos,rF5t7gB2
13,Farala,Martha,Payroll Rank and File,farmar,dS8f3hJ6
14,Martinez,Leila,Payroll Rank and File,marlei,eF4r9tL7
15,Romualdez,Fredrick ,Account Manager,romfre,sG3t6jK9
16,Mata,Christian,Account Team Leader,matchr,wE4r6uT8
17,De Leon,Selena ,Account Team Leader,delsel,qA5z3xW2
18,San Jose,Allison ,Account Rank and File,sanall,eF7g4hR9
19,Rosario,Cydney ,Account Rank and File,roscyd,rG8t3eW7
20,Bautista,Mark ,Account Rank and File,baumar,yU4i3oP8
21,Lazaro,Darlene ,Account Rank and File,lazdar,pO9i5kL2
22,Delos Santos,Kolby ,Account Rank and File,delkol,aS6t3eD7
23,Santos,Vella ,Account Rank and File,sanvel,wE5r4tS2
24,Del Rosario,Tomas,Account Rank and File,deltom,qW8e2rT7
25,Tolentino,Jacklyn ,Account Rank and File,toljac,sR3t6yU9
26,Gutierrez,Percival ,Account Rank and File,gutper,dF4g8hJ6
27,Manalaysay,Garfield ,Account Rank and File,mangar,eD5r7tY8
28,Villegas,Lizeth ,Account Rank and File,villiz,rE6t2yU7
29,Ramos,Carol ,Account Rank and File,ramcar,tG9h3kW4
30,Maceda,Emelia ,Account Rank and File,maceme,dF8g5hR3
31,Aguilar,Delia ,Account Rank and File,agudel,qW5r8tY2
32,Castro,John Rafael,Sales & Marketing,casjoh,sR6t4yU9
33,Martinez,Carlos Ian,Supply Chain and Logistics,marcar,dF5g7hJ2
34,Santos,Beatriz,Customer Service and Relations,sanbea,qW8e3rT4
